full_date,date_sk,year,month,day,weekday,quarter
2024-01-01,1,2024,1,1,1,1
2024-01-02,2,2024,1,2,2,1
2024-01-03,3,2024,1,3,3,1
2024-01-04,4,2024,1,4,4,1
2024-01-05,5,2024,1,5,5,1
2024-01-06,6,2024,1,6,6,1
2024-01-07,7,2024,1,7,7,1
2024-01-08,8,2024,1,8,1,1
2024-01-09,9,2024,1,9,2,1
2024-01-10,10,2024,1,10,3,1
2024-01-11,11,2024,1,11,4,1
2024-01-12,12,2024,1,12,5,1
2024-01-13,13,2024,1,13,6,1
2024-01-14,14,2024,1,14,7,1
2024-01-15,15,2024,1,15,1,1
2024-01-16,16,2024,1,16,2,1
2024-01-17,17,2024,1,17,3,1
2024-01-18,18,2024,1,18,4,1
2024-01-19,19,2024,1,19,5,1
2024-01-20,20,2024,1,20,6,1
2024-01-21,21,2024,1,21,7,1
2024-01-22,22,2024,1,22,1,1
2024-01-23,23,2024,1,23,2,1
2024-01-24,24,2024,1,24,3,1
2024-01-25,25,2024,1,25,4,1
2024-01-26,26,2024,1,26,5,1
2024-01-27,27,2024,1,27,6,1
2024-01-28,28,2024,1,28,7,1
2024-01-29,29,2024,1,29,1,1
2024-01-30,30,2024,1,30,2,1
2024-01-31,31,2024,1,31,3,1
2024-02-01,32,2024,2,1,4,1
2024-02-02,33,2024,2,2,5,1
2024-02-03,34,2024,2,3,6,1
2024-02-04,35,2024,2,4,7,1
2024-02-05,36,2024,2,5,1,1
2024-02-06,37,2024,2,6,2,1
2024-02-07,38,2024,2,7,3,1
2024-02-08,39,2024,2,8,4,1
2024-02-09,40,2024,2,9,5,1
2024-02-10,41,2024,2,10,6,1
2024-02-11,42,2024,2,11,7,1
2024-02-12,43,2024,2,12,1,1
2024-02-13,44,2024,2,13,2,1
2024-02-14,45,2024,2,14,3,1
2024-02-15,46,2024,2,15,4,1
2024-02-16,47,2024,2,16,5,1
2024-02-17,48,2024,2,17,6,1
2024-02-18,49,2024,2,18,7,1
2024-02-19,50,2024,2,19,1,1
2024-02-20,51,2024,2,20,2,1
2024-02-21,52,2024,2,21,3,1
2024-02-22,53,2024,2,22,4,1
2024-02-23,54,2024,2,23,5,1
2024-02-24,55,2024,2,24,6,1
2024-02-25,56,2024,2,25,7,1
2024-02-26,57,2024,2,26,1,1
2024-02-27,58,2024,2,27,2,1
2024-02-28,59,2024,2,28,3,1
2024-02-29,60,2024,2,29,4,1
2024-03-01,61,2024,3,1,5,1
2024-03-02,62,2024,3,2,6,1
2024-03-03,63,2024,3,3,7,1
2024-03-04,64,2024,3,4,1,1
2024-03-05,65,2024,3,5,2,1
2024-03-06,66,2024,3,6,3,1
2024-03-07,67,2024,3,7,4,1
2024-03-08,68,2024,3,8,5,1
2024-03-09,69,2024,3,9,6,1
2024-03-10,70,2024,3,10,7,1
2024-03-11,71,2024,3,11,1,1
2024-03-12,72,2024,3,12,2,1
2024-03-13,73,2024,3,13,3,1
2024-03-14,74,2024,3,14,4,1
2024-03-15,75,2024,3,15,5,1
2024-03-16,76,2024,3,16,6,1
2024-03-17,77,2024,3,17,7,1
2024-03-18,78,2024,3,18,1,1
2024-03-19,79,2024,3,19,2,1
2024-03-20,80,2024,3,20,3,1
2024-03-21,81,2024,3,21,4,1
2024-03-22,82,2024,3,22,5,1
2024-03-23,83,2024,3,23,6,1
2024-03-24,84,2024,3,24,7,1
2024-03-25,85,2024,3,25,1,1
2024-03-26,86,2024,3,26,2,1
2024-03-27,87,2024,3,27,3,1
2024-03-28,88,2024,3,28,4,1
2024-03-29,89,2024,3,29,5,1
2024-03-30,90,2024,3,30,6,1
2024-03-31,91,2024,3,31,7,1
2024-04-01,92,2024,4,1,1,2
2024-04-02,93,2024,4,2,2,2
2024-04-03,94,2024,4,3,3,2
2024-04-04,95,2024,4,4,4,2
2024-04-05,96,2024,4,5,5,2
2024-04-06,97,2024,4,6,6,2
2024-04-07,98,2024,4,7,7,2
2024-04-08,99,2024,4,8,1,2
2024-04-09,100,2024,4,9,2,2
2024-04-10,101,2024,4,10,3,2
2024-04-11,102,2024,4,11,4,2
2024-04-12,103,2024,4,12,5,2
2024-04-13,104,2024,4,13,6,2
2024-04-14,105,2024,4,14,7,2
2024-04-15,106,2024,4,15,1,2
2024-04-16,107,2024,4,16,2,2
2024-04-17,108,2024,4,17,3,2
2024-04-18,109,2024,4,18,4,2
2024-04-19,110,2024,4,19,5,2
2024-04-20,111,2024,4,20,6,2
2024-04-21,112,2024,4,21,7,2
2024-04-22,113,2024,4,22,1,2
2024-04-23,114,2024,4,23,2,2
2024-04-24,115,2024,4,24,3,2
2024-04-25,116,2024,4,25,4,2
2024-04-26,117,2024,4,26,5,2
2024-04-27,118,2024,4,27,6,2
2024-04-28,119,2024,4,28,7,2
2024-04-29,120,2024,4,29,1,2
2024-04-30,121,2024,4,30,2,2
2024-05-01,122,2024,5,1,3,2
2024-05-02,123,2024,5,2,4,2
2024-05-03,124,2024,5,3,5,2
2024-05-04,125,2024,5,4,6,2
2024-05-05,126,2024,5,5,7,2
2024-05-06,127,2024,5,6,1,2
2024-05-07,128,2024,5,7,2,2
2024-05-08,129,2024,5,8,3,2
2024-05-09,130,2024,5,9,4,2
2024-05-10,131,2024,5,10,5,2
2024-05-11,132,2024,5,11,6,2
2024-05-12,133,2024,5,12,7,2
2024-05-13,134,2024,5,13,1,2
2024-05-14,135,2024,5,14,2,2
2024-05-15,136,2024,5,15,3,2
2024-05-16,137,2024,5,16,4,2
2024-05-17,138,2024,5,17,5,2
2024-05-18,139,2024,5,18,6,2
2024-05-19,140,2024,5,19,7,2
2024-05-20,141,2024,5,20,1,2
2024-05-21,142,2024,5,21,2,2
2024-05-22,143,2024,5,22,3,2
2024-05-23,144,2024,5,23,4,2
2024-05-24,145,2024,5,24,5,2
2024-05-25,146,2024,5,25,6,2
2024-05-26,147,2024,5,26,7,2
2024-05-27,148,2024,5,27,1,2
2024-05-28,149,2024,5,28,2,2
2024-05-29,150,2024,5,29,3,2
2024-05-30,151,2024,5,30,4,2
2024-05-31,152,2024,5,31,5,2
2024-06-01,153,2024,6,1,6,2
2024-06-02,154,2024,6,2,7,2
2024-06-03,155,2024,6,3,1,2
2024-06-04,156,2024,6,4,2,2
2024-06-05,157,2024,6,5,3,2
2024-06-06,158,2024,6,6,4,2
2024-06-07,159,2024,6,7,5,2
2024-06-08,160,2024,6,8,6,2
2024-06-09,161,2024,6,9,7,2
2024-06-10,162,2024,6,10,1,2
2024-06-11,163,2024,6,11,2,2
2024-06-12,164,2024,6,12,3,2
2024-06-13,165,2024,6,13,4,2
2024-06-14,166,2024,6,14,5,2
2024-06-15,167,2024,6,15,6,2
2024-06-16,168,2024,6,16,7,2
2024-06-17,169,2024,6,17,1,2
2024-06-18,170,2024,6,18,2,2
2024-06-19,171,2024,6,19,3,2
2024-06-20,172,2024,6,20,4,2
2024-06-21,173,2024,6,21,5,2
2024-06-22,174,2024,6,22,6,2
2024-06-23,175,2024,6,23,7,2
2024-06-24,176,2024,6,24,1,2
2024-06-25,177,2024,6,25,2,2
2024-06-26,178,2024,6,26,3,2
2024-06-27,179,2024,6,27,4,2
2024-06-28,180,2024,6,28,5,2
2024-06-29,181,2024,6,29,6,2
2024-06-30,182,2024,6,30,7,2
2024-07-01,183,2024,7,1,1,3
2024-07-02,184,2024,7,2,2,3
2024-07-03,185,2024,7,3,3,3
2024-07-04,186,2024,7,4,4,3
2024-07-05,187,2024,7,5,5,3
2024-07-06,188,2024,7,6,6,3
2024-07-07,189,2024,7,7,7,3
2024-07-08,190,2024,7,8,1,3
2024-07-09,191,2024,7,9,2,3
2024-07-10,192,2024,7,10,3,3
2024-07-11,193,2024,7,11,4,3
2024-07-12,194,2024,7,12,5,3
2024-07-13,195,2024,7,13,6,3
2024-07-14,196,2024,7,14,7,3
2024-07-15,197,2024,7,15,1,3
2024-07-16,198,2024,7,16,2,3
2024-07-17,199,2024,7,17,3,3
2024-07-18,200,2024,7,18,4,3
2024-07-19,201,2024,7,19,5,3
2024-07-20,202,2024,7,20,6,3
2024-07-21,203,2024,7,21,7,3
2024-07-22,204,2024,7,22,1,3
2024-07-23,205,2024,7,23,2,3
2024-07-24,206,2024,7,24,3,3
2024-07-25,207,2024,7,25,4,3
2024-07-26,208,2024,7,26,5,3
2024-07-27,209,2024,7,27,6,3
2024-07-28,210,2024,7,28,7,3
2024-07-29,211,2024,7,29,1,3
2024-07-30,212,2024,7,30,2,3
2024-07-31,213,2024,7,31,3,3
2024-08-01,214,2024,8,1,4,3
2024-08-02,215,2024,8,2,5,3
2024-08-03,216,2024,8,3,6,3
2024-08-04,217,2024,8,4,7,3
2024-08-05,218,2024,8,5,1,3
2024-08-06,219,2024,8,6,2,3
2024-08-07,220,2024,8,7,3,3
2024-08-08,221,2024,8,8,4,3
2024-08-09,222,2024,8,9,5,3
2024-08-10,223,2024,8,10,6,3
2024-08-11,224,2024,8,11,7,3
2024-08-12,225,2024,8,12,1,3
2024-08-13,226,2024,8,13,2,3
2024-08-14,227,2024,8,14,3,3
2024-08-15,228,2024,8,15,4,3
2024-08-16,229,2024,8,16,5,3
2024-08-17,230,2024,8,17,6,3
2024-08-18,231,2024,8,18,7,3
2024-08-19,232,2024,8,19,1,3
2024-08-20,233,2024,8,20,2,3
2024-08-21,234,2024,8,21,3,3
2024-08-22,235,2024,8,22,4,3
2024-08-23,236,2024,8,23,5,3
2024-08-24,237,2024,8,24,6,3
2024-08-25,238,2024,8,25,7,3
2024-08-26,239,2024,8,26,1,3
2024-08-27,240,2024,8,27,2,3
2024-08-28,241,2024,8,28,3,3
2024-08-29,242,2024,8,29,4,3
2024-08-30,243,2024,8,30,5,3
2024-08-31,244,2024,8,31,6,3
2024-09-01,245,2024,9,1,7,3
2024-09-02,246,2024,9,2,1,3
2024-09-03,247,2024,9,3,2,3
2024-09-04,248,2024,9,4,3,3
2024-09-05,249,2024,9,5,4,3
2024-09-06,250,2024,9,6,5,3
2024-09-07,251,2024,9,7,6,3
2024-09-08,252,2024,9,8,7,3
2024-09-09,253,2024,9,9,1,3
2024-09-10,254,2024,9,10,2,3
2024-09-11,255,2024,9,11,3,3
2024-09-12,256,2024,9,12,4,3
2024-09-13,257,2024,9,13,5,3
2024-09-14,258,2024,9,14,6,3
2024-09-15,259,2024,9,15,7,3
2024-09-16,260,2024,9,16,1,3
2024-09-17,261,2024,9,17,2,3
2024-09-18,262,2024,9,18,3,3
2024-09-19,263,2024,9,19,4,3
2024-09-20,264,2024,9,20,5,3
2024-09-21,265,2024,9,21,6,3
2024-09-22,266,2024,9,22,7,3
2024-09-23,267,2024,9,23,1,3
2024-09-24,268,2024,9,24,2,3
2024-09-25,269,2024,9,25,3,3
2024-09-26,270,2024,9,26,4,3
2024-09-27,271,2024,9,27,5,3
2024-09-28,272,2024,9,28,6,3
2024-09-29,273,2024,9,29,7,3
2024-09-30,274,2024,9,30,1,3
2024-10-01,275,2024,10,1,2,4
2024-10-02,276,2024,10,2,3,4
2024-10-03,277,2024,10,3,4,4
2024-10-04,278,2024,10,4,5,4
2024-10-05,279,2024,10,5,6,4
2024-10-06,280,2024,10,6,7,4
2024-10-07,281,2024,10,7,1,4
2024-10-08,282,2024,10,8,2,4
2024-10-09,283,2024,10,9,3,4
2024-10-10,284,2024,10,10,4,4
2024-10-11,285,2024,10,11,5,4
2024-10-12,286,2024,10,12,6,4
2024-10-13,287,2024,10,13,7,4
2024-10-14,288,2024,10,14,1,4
2024-10-15,289,2024,10,15,2,4
2024-10-16,290,2024,10,16,3,4
2024-10-17,291,2024,10,17,4,4
2024-10-18,292,2024,10,18,5,4
2024-10-19,293,2024,10,19,6,4
2024-10-20,294,2024,10,20,7,4
2024-10-21,295,2024,10,21,1,4
2024-10-22,296,2024,10,22,2,4
2024-10-23,297,2024,10,23,3,4
