store_sk,store_id,store_name,store_type,store_location,store_manager_sk
1,STR_00001,TechWorld,Large Malls / Complexes,Los Angeles,670
2,STR_00002,Roomify,Small Stores / Shops,Baltimore,171
3,STR_00003,EcoMart,Supermarkets ,Phoenix,12
4,STR_00004,TechBazaar,Small Stores / Shops,Tampa,1450
5,STR_00005,FurniCart,Large Malls / Complexes,San Antonio,175
6,STR_00006,NeoStore,Supermarkets ,Raleigh,2
7,STR_00007,FitNGo,Supermarkets ,Arlington,782
8,STR_00008,DailyDeals,Supermarkets ,Kansas City,957
9,STR_00009,QuickCart,Supermarkets ,Las Vegas,81
10,STR_00010,NeoStore,Supermarkets ,Denver,1098
11,STR_00011,ElectroPoint,Supermarkets ,Miami,450
12,STR_00012,NextGenMart,Large Malls / Complexes,San Antonio,418
13,STR_00013,ShopEase,Supermarkets ,Albuquerque,598
14,STR_00014,DailyDeals,Large Malls / Complexes,El Paso,1366
15,STR_00015,Roomify,Supermarkets ,Los Angeles,1696
16,STR_00016,ActiveLife,Supermarkets ,San Antonio,1750
17,STR_00017,DailyMart,Supermarkets ,Minneapolis,1104
18,STR_00018,HomeHaven,Large Malls / Complexes,Louisville,516
19,STR_00019,DailyMart,Supermarkets ,Fresno,1640
20,STR_00020,WearWell,Supermarkets ,Long Beach,848
21,STR_00021,FurniWorld,Small Stores / Shops,New Orleans,1515
22,STR_00022,FabNest,Small Stores / Shops,Phoenix,278
23,STR_00023,UrbanGear,Supermarkets ,San Jose,1826
24,STR_00024,NeoStore,Small Stores / Shops,Louisville,38
25,STR_00025,StyleStop,Small Stores / Shops,Milwaukee,341
26,STR_00026,ClothCorner,Large Malls / Complexes,Virginia Beach,258
27,STR_00027,FashionFiesta,Supermarkets ,Washington,419
28,STR_00028,HomeEssence,Small Stores / Shops,Colorado Springs,751
29,STR_00029,TechBazaar,Supermarkets ,Denver,1578
30,STR_00030,FreshNest,Small Stores / Shops,Austin,1355
31,STR_00031,TechBazaar,Supermarkets ,Indianapolis,990
32,STR_00032,TechBazaar,Large Malls / Complexes,Fresno,1342
33,STR_00033,Roomify,Large Malls / Complexes,San Jose,880
34,STR_00034,CityMart,Supermarkets ,Atlanta,334
35,STR_00035,CityMart,Large Malls / Complexes,Tulsa,1694
36,STR_00036,TechBazaar,Large Malls / Complexes,Memphis,1339
37,STR_00037,FashionFiesta,Large Malls / Complexes,Fresno,570
38,STR_00038,NeoStore,Supermarkets ,San Jose,1306
39,STR_00039,QuickCart,Large Malls / Complexes,Boston,1892
40,STR_00040,StyleStop,Supermarkets ,Miami,749
41,STR_00041,NextGenMart,Small Stores / Shops,Portland,456
42,STR_00042,GrocerEase,Large Malls / Complexes,Virginia Beach,791
43,STR_00043,StyleStop,Supermarkets ,New York,742
